bet_id,sportsbook,type,status,odds,closing_line,ev,amount,profit,time_placed,time_settled,time_placed_iso,time_settled_iso,bet_info,tags,sports,leagues
partner_da51788f-c8ab-4843-809a-2dfd07a8ea9e,ProphetX,straight,SETTLED_PUSH,1.9607843137254903,1.9603174603174602,0.0002,50,0.00,04/08/2026 01:34:09 GMT,04/08/2026 05:30:00 GMT,2026-04-08T01:34:09.000Z,2026-04-08T05:30:00.000Z,under 7.5 Jaxson Hayes Points Oklahoma City Thunder at Los Angeles Lakers,,Basketball,NBA
partner_6681c126-1f08-4261-a32c-418107ed0a00,ProphetX,straight,SETTLED_LOSS,2.1563999999999997,2.126358501053903,0.0141,50,-50.00,04/08/2026 01:00:58 GMT,04/08/2026 05:30:00 GMT,2026-04-08T01:00:58.000Z,2026-04-08T05:30:00.000Z,under 8.5 Jared McCain Points Oklahoma City Thunder at Los Angeles Lakers,,Basketball,NBA
partner_bdeccb0d-e080-4e21-8378-33a540e24b57,ProphetX,straight,SETTLED_WIN,2.2348,,,9.91,12.24,04/08/2026 02:03:06 GMT,04/08/2026 04:40:52 GMT,2026-04-08T02:03:06.000Z,2026-04-08T04:40:52.060Z,over 15.5 De'Anthony Melton Points Sacramento Kings at Golden State Warriors,,Basketball,NBA
partner_99119ed1-08b3-4666-9831-f67bf201fe90,ProphetX,straight,SETTLED_WIN,1.9245283018867925,1.7801288640442297,0.0811,50,46.23,04/08/2026 01:52:39 GMT,04/08/2026 04:40:52 GMT,2026-04-08T01:52:39.000Z,2026-04-08T04:40:52.059Z,under 4.5 Brandin Podziemski Assists Sacramento Kings at Golden State Warriors,,Basketball,NBA
partner_3980c531-f81a-419f-bedf-2ea7313e0753,ProphetX,straight,SETTLED_WIN,2.1074,2.0010048378991305,0.0532,50,55.37,04/08/2026 01:50:09 GMT,04/08/2026 04:40:52 GMT,2026-04-08T01:50:09.000Z,2026-04-08T04:40:52.059Z,under 25.5 Maxime Raynaud Total Points & Rebounds Sacramento Kings at Golden State Warriors,,Basketball,NBA
partner_ead1e2e3-3f55-44c1-9fa8-1fedf0b50fd5,ProphetX,straight,SETTLED_WIN,1.9607843137254903,1.7801288640442297,0.1015,42.7,41.02,04/08/2026 01:17:09 GMT,04/08/2026 04:40:52 GMT,2026-04-08T01:17:09.000Z,2026-04-08T04:40:52.058Z,under 4.5 Brandin Podziemski Assists Sacramento Kings at Golden State Warriors,,Basketball,NBA
partner_4e8f2b7b-2240-45a8-9cc6-5bc1db4e911a,ProphetX,straight,SETTLED_LOSS,1.7205882352941178,1.726090407227751,-0.0032,50,-50.00,04/08/2026 00:40:12 GMT,04/08/2026 04:40:52 GMT,2026-04-08T00:40:12.000Z,2026-04-08T04:40:52.037Z,under 3.5 Stephen Curry Rebounds Sacramento Kings at Golden State Warriors,,Basketball,NBA
partner_ae56eddf-9fb8-4095-99f6-a64df3f47465,ProphetX,straight,SETTLED_LOSS,1.7205882352941178,1.726090407227751,-0.0032,50,-50.00,04/08/2026 00:33:08 GMT,04/08/2026 04:40:52 GMT,2026-04-08T00:33:08.000Z,2026-04-08T04:40:52.036Z,under 3.5 Stephen Curry Rebounds Sacramento Kings at Golden State Warriors,,Basketball,NBA
partner_5781faff-524c-4d98-a242-0bec762fd259,ProphetX,straight,SETTLED_LOSS,1.8990825688073394,1.8216136073980174,0.0425,5,-5.00,04/08/2026 00:31:43 GMT,04/08/2026 04:40:52 GMT,2026-04-08T00:31:43.000Z,2026-04-08T04:40:52.035Z,over 0.5 Otto Kemp Total Hits Philadelphia Phillies at San Francisco Giants,,Baseball,MLB
partner_73b3058d-efb8-44b4-ad6b-8fdafdfb9371,ProphetX,straight,SETTLED_WIN,1.9245283018867922,1.9388408335707241,-0.0074,5,4.63,04/08/2026 00:32:40 GMT,04/08/2026 04:40:52 GMT,2026-04-08T00:32:40.000Z,2026-04-08T04:40:52.035Z,under 4.5 Robbie Ray Hits Allowed Philadelphia Phillies at San Francisco Giants,,Baseball,MLB
partner_1cf98e53-004f-4d5c-b36b-7afa98b5bfa1,ProphetX,straight,SETTLED_WIN,2.156399999999999,2.3538461538461544,-0.0839,50,57.82,04/08/2026 00:31:41 GMT,04/08/2026 04:40:52 GMT,2026-04-08T00:31:41.000Z,2026-04-08T04:40:52.034Z,"under 22.5 Draymond Green Total Points, Rebounds & Assists Sacramento Kings at Golden State Warriors",,Basketball,NBA
partner_11b441f3-050a-4e42-aa77-ddc76d99606d,ProphetX,straight,SETTLED_LOSS,2.1466,2.51395567289587,-0.1461,43.59,-43.59,04/08/2026 00:31:40 GMT,04/08/2026 04:40:52 GMT,2026-04-08T00:31:40.000Z,2026-04-08T04:40:52.032Z,"under 20.5 De'Anthony Melton Total Points, Rebounds & Assists Sacramento Kings at Golden State Warriors",,Basketball,NBA
partner_cc5355a7-aa01-48ca-94a8-de7752772952,ProphetX,straight,SETTLED_WIN,1.9333333333333331,1.8100315674755911,0.0681,5,4.66,04/08/2026 00:32:08 GMT,04/08/2026 04:38:00 GMT,2026-04-08T00:32:08.000Z,2026-04-08T04:38:00.000Z,under 1.5 Ronald Acuña Jr. Total Bases Atlanta Braves at Los Angeles Angels,,Baseball,MLB
partner_e61b860f-ef01-48af-9bd4-641976a4db7d,ProphetX,straight,SETTLED_LOSS,1.882882882882883,1.9249383511023628,-0.0218,1.11,-1.11,04/08/2026 00:32:08 GMT,04/08/2026 04:38:00 GMT,2026-04-08T00:32:08.000Z,2026-04-08T04:38:00.000Z,under 5.5 Yusei Kikuchi Hits Allowed Atlanta Braves at Los Angeles Angels,,Baseball,MLB
partner_dea5d5b7-474f-4997-b1db-dea7025ec32d,ProphetX,straight,SETTLED_WIN,1.882882882882883,1.7701212099007766,0.0637,1.11,0.98,04/08/2026 00:31:41 GMT,04/08/2026 04:38:00 GMT,2026-04-08T00:31:41.000Z,2026-04-08T04:38:00.000Z,under 4.5 Reynaldo López Hits Allowed Atlanta Braves at Los Angeles Angels,,Baseball,MLB
partner_42f5389a-f1de-424b-9d49-5b44b4b38673,ProphetX,straight,SETTLED_LOSS,2.0094000000000003,1.9582236874635819,0.0261,5,-5.00,04/08/2026 00:25:08 GMT,04/08/2026 04:38:00 GMT,2026-04-08T00:25:08.000Z,2026-04-08T04:38:00.000Z,over 0.5 Travis d'Arnaud Total Hits Atlanta Braves at Los Angeles Angels,,Baseball,MLB
partner_7b64d73a-548c-4765-9818-5f9c291651e6,ProphetX,straight,SETTLED_WIN,1.951456310679612,1.8929242545766791,0.0309,1.03,0.98,04/07/2026 23:16:44 GMT,04/08/2026 03:39:53 GMT,2026-04-07T23:16:44.000Z,2026-04-08T03:39:53.486Z,under 6.5 Kyle Freeland Hits Allowed Houston Astros at Colorado Rockies,,Baseball,MLB
partner_bfc5e8c7-e7cf-497a-a4c3-38ae4f82594e,ProphetX,straight,SETTLED_LOSS,2.2348,2.0550018595827013,0.0875,0.79,-0.79,04/07/2026 23:16:44 GMT,04/08/2026 03:39:53 GMT,2026-04-07T23:16:44.000Z,2026-04-08T03:39:53.485Z,under 1.5 Christian Walker Total Bases Houston Astros at Colorado Rockies,,Baseball,MLB
partner_185dfa1a-7fbc-4e47-a655-d6386b867c96,ProphetX,straight,SETTLED_LOSS,2.2348,2.0814917379642908,0.0737,25,-25.00,04/07/2026 23:17:11 GMT,04/08/2026 03:00:00 GMT,2026-04-07T23:17:11.000Z,2026-04-08T03:00:00.000Z,under 0.5 Devon Toews Total Points Colorado Avalanche at St. Louis Blues,,Ice Hockey,NHL
partner_f2ebab41-fc0e-469c-82ee-0b889d42cb6a,ProphetX,straight,SETTLED_WIN,2.1955999999999998,1.9954679843686176,0.1003,10,11.96,04/07/2026 23:16:42 GMT,04/08/2026 03:00:00 GMT,2026-04-07T23:16:42.000Z,2026-04-08T03:00:00.000Z,over 26.5 LaMelo Ball Total Points & Rebounds Charlotte Hornets at Boston Celtics,,Basketball,NBA
partner_fbc810e8-4e79-4047-9226-0c1f125af876,ProphetX,straight,SETTLED_LOSS,2.0976,,,10,-10.00,04/07/2026 23:55:42 GMT,04/08/2026 02:24:00 GMT,2026-04-07T23:55:42.000Z,2026-04-08T02:24:00.313Z,over 9.5 Kyle Filipowski Rebounds Utah Jazz at New Orleans Pelicans,,Basketball,NBA
partner_e403fe5a-a638-4de7-9c3d-ec135514aa16,ProphetX,straight,SETTLED_WIN,1.80327868852459,,,50,40.16,04/07/2026 23:45:41 GMT,04/08/2026 02:24:00 GMT,2026-04-07T23:45:41.000Z,2026-04-08T02:24:00.313Z,under 4.5 Brice Sensabaugh Rebounds Utah Jazz at New Orleans Pelicans,,Basketball,NBA
partner_f36fc66a-575f-4334-976c-3750b24d1cb6,ProphetX,straight,SETTLED_LOSS,2.0878000000000005,,,10,-10.00,04/07/2026 23:41:41 GMT,04/08/2026 02:24:00 GMT,2026-04-07T23:41:41.000Z,2026-04-08T02:24:00.312Z,over 9.5 Kyle Filipowski Rebounds Utah Jazz at New Orleans Pelicans,,Basketball,NBA
partner_96b3f5d3-ba4f-4427-a645-97b1f57bf0f4,ProphetX,straight,SETTLED_LOSS,2.0486000000000004,,,46.73,-46.73,04/07/2026 23:40:42 GMT,04/08/2026 02:24:00 GMT,2026-04-07T23:40:42.000Z,2026-04-08T02:24:00.295Z,under 10.5 Jakob Poeltl Points Miami Heat at Toronto Raptors,,Basketball,NBA
partner_811c9412-1e9f-4eee-83c7-6ee60e2b589a,ProphetX,straight,SETTLED_LOSS,2.1662,,,10,-10.00,04/07/2026 23:27:41 GMT,04/08/2026 02:24:00 GMT,2026-04-07T23:27:41.000Z,2026-04-08T02:24:00.294Z,over 18.5 Kyle Filipowski Points Utah Jazz at New Orleans Pelicans,,Basketball,NBA
partner_87d40553-37b8-4b55-9f40-ccb762e5b4c8,ProphetX,straight,SETTLED_LOSS,2.0976,,,10,-10.00,04/07/2026 23:25:41 GMT,04/08/2026 02:24:00 GMT,2026-04-07T23:25:41.000Z,2026-04-08T02:24:00.294Z,over 23.5 Brice Sensabaugh Points Utah Jazz at New Orleans Pelicans,,Basketball,NBA
partner_2c70a31b-7bb2-49e2-a712-1d6c3a5e96ac,ProphetX,straight,SETTLED_LOSS,2.0976,,,10,-10.00,04/07/2026 23:16:43 GMT,04/08/2026 02:24:00 GMT,2026-04-07T23:16:43.000Z,2026-04-08T02:24:00.293Z,over 9.5 Kyle Filipowski Rebounds Utah Jazz at New Orleans Pelicans,,Basketball,NBA
partner_459c1e3d-b9ce-4564-8f63-ff718c0dbf2c,ProphetX,straight,SETTLED_WIN,2.2348,2.0448623849236514,0.0929,50,61.74,04/07/2026 23:16:42 GMT,04/08/2026 02:24:00 GMT,2026-04-07T23:16:42.000Z,2026-04-08T02:24:00.292Z,under 14.5 Bam Adebayo Total Rebounds & Assists Miami Heat at Toronto Raptors,,Basketball,NBA
partner_f264a24e-eee8-4ba2-bb28-e4c42e9b10d3,ProphetX,straight,SETTLED_WIN,1.8032786885245902,1.7415034956136535,0.0355,5,4.02,04/07/2026 21:18:44 GMT,04/08/2026 02:05:00 GMT,2026-04-07T21:18:44.000Z,2026-04-08T02:05:00.000Z,under 1.5 Ben Rice Total Bases Athletics at New York Yankees,,Baseball,MLB
partner_6aef2685-33f7-4d8f-874e-5115750bb2b7,ProphetX,straight,SETTLED_LOSS,2.029,1.9633310682016625,0.0334,9.52,-9.52,04/07/2026 22:58:15 GMT,04/08/2026 02:00:00 GMT,2026-04-07T22:58:15.000Z,2026-04-08T02:00:00.000Z,under 14.5 Bilal Coulibaly Points Chicago Bulls at Washington Wizards,,Basketball,NBA
partner_f8a0ed61-7ad7-4c55-bd0e-84985f0ea15c,ProphetX,straight,SETTLED_LOSS,2.127,2.112999097931819,0.0066,10,-10.00,04/07/2026 21:10:14 GMT,04/08/2026 02:00:00 GMT,2026-04-07T21:10:14.000Z,2026-04-08T02:00:00.000Z,over 7.5 Guerschon Yabusele Rebounds Chicago Bulls at Washington Wizards,,Basketball,NBA
partner_a66f7269-1e33-4d8d-9d9b-7b177fc1b771,ProphetX,straight,SETTLED_WIN,2.127,2.2627779460443063,-0.0600,25,28.18,04/07/2026 20:29:14 GMT,04/08/2026 02:00:00 GMT,2026-04-07T20:29:14.000Z,2026-04-08T02:00:00.000Z,"under 35.5 Julius Randle Total Points, Rebounds & Assists Minnesota Timberwolves at Indiana Pacers",,Basketball,NBA
partner_b04357df-55fb-4464-806b-92053a7bea07,ProphetX,straight,SETTLED_LOSS,2.2348,2.224583974756992,0.0046,48.56,-48.56,04/07/2026 21:30:55 GMT,04/08/2026 02:00:00 GMT,2026-04-07T21:30:55.000Z,2026-04-08T02:00:00.000Z,under 6.5 Tre Jones Assists Chicago Bulls at Washington Wizards,,Basketball,NBA
partner_e85d5ba0-ef19-4d91-bb38-955a67bdf331,ProphetX,straight,SETTLED_LOSS,2.2348,2.200493827160494,0.0156,50,-50.00,04/07/2026 22:51:15 GMT,04/08/2026 02:00:00 GMT,2026-04-07T22:51:15.000Z,2026-04-08T02:00:00.000Z,under 13.5 Bilal Coulibaly Points Chicago Bulls at Washington Wizards,,Basketball,NBA
partner_3324c9b8-c604-433c-9a06-ac2f1fdea9d9,ProphetX,straight,SETTLED_WIN,2.274,2.454635559484289,-0.0736,10,12.74,04/07/2026 21:35:44 GMT,04/08/2026 02:00:00 GMT,2026-04-07T21:35:44.000Z,2026-04-08T02:00:00.000Z,over 4.5 Will Riley Rebounds Chicago Bulls at Washington Wizards,,Basketball,NBA
partner_ec47130c-dfc1-4cb8-81e1-37724ee01647,ProphetX,straight,SETTLED_LOSS,1.80327868852459,1.8007004436534142,0.0014,43.62,-43.62,04/07/2026 22:07:48 GMT,04/08/2026 02:00:00 GMT,2026-04-07T22:07:48.000Z,2026-04-08T02:00:00.000Z,under 3.5 Jarace Walker Assists Minnesota Timberwolves at Indiana Pacers,,Basketball,NBA
partner_04b5fd14-156c-479c-b0a9-9ef31cba8e12,ProphetX,straight,SETTLED_LOSS,2.0682,1.8897452900190095,0.0944,0.92,-0.92,04/07/2026 21:32:12 GMT,04/08/2026 02:00:00 GMT,2026-04-07T21:32:12.000Z,2026-04-08T02:00:00.000Z,over 31.5 Julius Randle Total Points & Rebounds Minnesota Timberwolves at Indiana Pacers,,Basketball,NBA
partner_e213d65b-4380-48df-adb7-94e3f92a5dca,ProphetX,straight,SETTLED_LOSS,2.1368,2.112999097931819,0.0113,10,-10.00,04/07/2026 20:29:13 GMT,04/08/2026 02:00:00 GMT,2026-04-07T20:29:13.000Z,2026-04-08T02:00:00.000Z,over 7.5 Guerschon Yabusele Rebounds Chicago Bulls at Washington Wizards,,Basketball,NBA
partner_a5fb952b-9a10-4e01-adea-b4cc5cc8af85,ProphetX,straight,SETTLED_LOSS,2.1955999999999998,2.0593260820015957,0.0662,10,-10.00,04/07/2026 21:20:44 GMT,04/08/2026 02:00:00 GMT,2026-04-07T21:20:44.000Z,2026-04-08T02:00:00.000Z,over 5.5 Anthony Gill Rebounds Chicago Bulls at Washington Wizards,,Basketball,NBA
partner_6d28727d-7700-42ee-8b1d-c61ecec9edb3,ProphetX,straight,SETTLED_WIN,2.2446,2.454635559484289,-0.0856,10,12.45,04/07/2026 21:14:43 GMT,04/08/2026 02:00:00 GMT,2026-04-07T21:14:43.000Z,2026-04-08T02:00:00.000Z,over 4.5 Will Riley Rebounds Chicago Bulls at Washington Wizards,,Basketball,NBA
partner_96581988-2be0-4cd1-8dcb-ac42ec0d1284,ProphetX,straight,SETTLED_LOSS,1.7903225806451615,1.8007004436534142,-0.0058,50,-50.00,04/07/2026 21:35:44 GMT,04/08/2026 02:00:00 GMT,2026-04-07T21:35:44.000Z,2026-04-08T02:00:00.000Z,under 3.5 Jarace Walker Assists Minnesota Timberwolves at Indiana Pacers,,Basketball,NBA
partner_175b6f12-c953-4d35-ba82-bb9824a49132,ProphetX,straight,SETTLED_LOSS,1.9996,1.933813143885248,0.0340,25,-25.00,04/07/2026 20:29:14 GMT,04/08/2026 02:00:00 GMT,2026-04-07T20:29:14.000Z,2026-04-08T02:00:00.000Z,under 9.5 Jarace Walker Total Rebounds & Assists Minnesota Timberwolves at Indiana Pacers,,Basketball,NBA
partner_6ce73440-979a-4216-a878-712a797e18c5,ProphetX,straight,SETTLED_LOSS,2.1171999999999995,,,0.88,-0.88,04/07/2026 21:22:13 GMT,04/08/2026 02:00:00 GMT,2026-04-07T21:22:13.000Z,2026-04-08T02:00:00.000Z,over 27.5 Will Riley Total Points & Rebounds Chicago Bulls at Washington Wizards,,Basketball,NBA
partner_9234dae9-e71e-4844-80f3-dfb52265c30b,ProphetX,straight,SETTLED_WIN,1.9996,2.0274854482971403,-0.0138,49.02,49.00,04/07/2026 21:10:14 GMT,04/08/2026 02:00:00 GMT,2026-04-07T21:10:14.000Z,2026-04-08T02:00:00.000Z,under 4.5 Ayo Dosunmu Assists Minnesota Timberwolves at Indiana Pacers,,Basketball,NBA
partner_4c4afd88-a874-49be-92b5-3b002ae7e2ef,ProphetX,straight,SETTLED_LOSS,2.1955999999999998,2.1650281279017958,0.0141,10,-10.00,04/07/2026 20:29:13 GMT,04/08/2026 02:00:00 GMT,2026-04-07T20:29:13.000Z,2026-04-08T02:00:00.000Z,over 11.5 Kobe Brown Points Minnesota Timberwolves at Indiana Pacers,,Basketball,NBA
partner_be8f5d8e-a75b-43af-9573-840bcf37d57d,ProphetX,straight,SETTLED_LOSS,2.176,2.6666666666666665,-0.1840,10,-10.00,04/07/2026 21:10:14 GMT,04/08/2026 02:00:00 GMT,2026-04-07T21:10:14.000Z,2026-04-08T02:00:00.000Z,over 11.5 Micah Potter Points Minnesota Timberwolves at Indiana Pacers,,Basketball,NBA
partner_d6babcd0-3bbb-4db4-a489-973f14e7726b,ProphetX,straight,SETTLED_LOSS,2.176,2.6666666666666665,-0.1840,10,-10.00,04/07/2026 20:29:13 GMT,04/08/2026 02:00:00 GMT,2026-04-07T20:29:13.000Z,2026-04-08T02:00:00.000Z,over 11.5 Micah Potter Points Minnesota Timberwolves at Indiana Pacers,,Basketball,NBA
partner_e26ba6fd-6273-4bd0-b896-dcf593834bbe,ProphetX,straight,SETTLED_LOSS,2.0976,1.9426065065852751,0.0798,25,-25.00,04/07/2026 20:29:16 GMT,04/08/2026 02:00:00 GMT,2026-04-07T20:29:16.000Z,2026-04-08T02:00:00.000Z,under 0.5 Owen Tippett Total Points Philadelphia Flyers at New Jersey Devils,,Ice Hockey,NHL
partner_6773433a-b8f6-4e19-9bf2-ce06dfa55436,ProphetX,straight,SETTLED_LOSS,1.9158878504672898,1.671675650487614,0.1461,25,-25.00,04/07/2026 20:29:14 GMT,04/08/2026 02:00:00 GMT,2026-04-07T20:29:14.000Z,2026-04-08T02:00:00.000Z,under 7.5 Donte DiVincenzo Total Rebounds & Assists Minnesota Timberwolves at Indiana Pacers,,Basketball,NBA
partner_b36f27a7-50a8-4f4e-a7cb-d3c809032838,ProphetX,straight,SETTLED_WIN,2.0780000000000003,2.104454433122899,-0.0126,10,10.78,04/07/2026 20:29:14 GMT,04/08/2026 02:00:00 GMT,2026-04-07T20:29:14.000Z,2026-04-08T02:00:00.000Z,over 3.5 Donte DiVincenzo Rebounds Minnesota Timberwolves at Indiana Pacers,,Basketball,NBA
